"doc_id","doc_title","req_id","subject","predicate","object","category","priority","source_sentence","shacl_valid"
"doc001","City of Cupertino – Citywide AI Chatbot Solutions (IT-2025-829)","doc001_r001","City of Cupertino","seeks to secure","a firm to provide a citywide AI chatbot solution and support services","Strategic objective","MUST","The City is seeking to secure a firm with the required experience, qualifications, expertise, and resources to perform the services identified in this Request for Proposal.","true"
"doc001","City of Cupertino – Citywide AI Chatbot Solutions (IT-2025-829)","doc001_r002","AI chatbot solution","must support","City staff in delivering services to residents","Functional","MUST","The chatbot solution will support City staff in delivering services to residents and ultimately provide a resident-facing tool for accessing City information and services.","true"
"doc001","City of Cupertino – Citywide AI Chatbot Solutions (IT-2025-829)","doc001_r003","AI chatbot solution","must provide","a resident-facing tool for accessing City information and services","Functional","MUST","The chatbot solution will support City staff in delivering services to residents and ultimately provide a resident-facing tool for accessing City information and services.","true"
"doc001","City of Cupertino – Citywide AI Chatbot Solutions (IT-2025-829)","doc001_r004","Vendor","must perform","needs assessment and planning as part of the project scope","Deployment","MUST","The work includes needs assessment and planning; ingestion and integration of City content and systems; chatbot deployment and configuration.","true"
"doc001","City of Cupertino – Citywide AI Chatbot Solutions (IT-2025-829)","doc001_r005","AI solution","must ingest and integrate","City content and existing municipal systems","Integration","MUST","The work includes needs assessment and planning; ingestion and integration of City content and systems; chatbot deployment and configuration.","true"
"doc001","City of Cupertino – Citywide AI Chatbot Solutions (IT-2025-829)","doc001_r006","AI chatbot","must meet","user experience, accessibility, administration, analytics, and security requirements","Accessibility","MUST","User experience, accessibility, administration, analytics, and security requirements are included in the scope of work.","true"
"doc001","City of Cupertino – Citywide AI Chatbot Solutions (IT-2025-829)","doc001_r007","Vendor","must deliver","administrator training and ongoing technical support","Training","MUST","Core services include implementation of the chatbot platform, administrator training, analytics and reporting, and ongoing technical support.","true"
"doc001","City of Cupertino – Citywide AI Chatbot Solutions (IT-2025-829)","doc001_r008","AI chatbot","may integrate with","CRM solution, permitting system, agenda management system, or PRA system","Integration","MAY","Vendors may also propose additional services such as AI Chatbot integration with a customer relationship management (CRM) solution, permitting system, agenda management system, PRA System etc.","true"
"doc001","City of Cupertino – Citywide AI Chatbot Solutions (IT-2025-829)","doc001_r009","Deployment","must begin with","internal staff testing in a sandbox environment before scaling to resident-facing deployment","Deployment","MUST","The deployment will begin with internal staff testing in a sandbox environment before ultimately scaling to a full resident-facing deployment.","true"
"doc001","City of Cupertino – Citywide AI Chatbot Solutions (IT-2025-829)","doc001_r010","Vendor","must collaborate with","City staff and other partners throughout the project","Collaboration","MUST","The vendor will collaborate with City staff and other partners throughout the project.","true"
"doc001","City of Cupertino – Citywide AI Chatbot Solutions (IT-2025-829)","doc001_r011","AI chatbot","must comply with","ADA/WCAG accessibility standards and data retention and PII protection requirements","Compliance","MUST","Security, privacy, and accessibility compliance (e.g., ADA/WCAG, data retention, PII protection).","true"
"doc001","City of Cupertino – Citywide AI Chatbot Solutions (IT-2025-829)","doc001_r012","Vendor","must provide","model evaluation and monitoring capabilities as part of the scope of work","Quality","MUST","Model evaluation and monitoring is included in the scope of work.","true"
"doc001","City of Cupertino – Citywide AI Chatbot Solutions (IT-2025-829)","doc001_r013","Proposers","must demonstrate","prior experience with chatbot or AI-enabled service delivery platforms in public sector","Selection","MUST","Describe the qualifications and experience of the team members assigned to the project, with emphasis on relevant public sector work.","true"
"doc002","NDC Partnership – AI Implementation RFP (August 2025)","doc002_r001","NDC Partnership Support Unit","needs to implement","a Retrieval-Augmented Generation (RAG) chatbot to improve information management processes","Strategic objective","MUST","The NDC Partnership is seeking services from a vendor to implement AI technologies for the SU, starting with a RAG Chatbot with indexing technology.","true"
"doc002","NDC Partnership – AI Implementation RFP (August 2025)","doc002_r002","RAG chatbot","must enable","SU staff to efficiently retrieve precise up-to-date information from SU data sources","Functional","MUST","The RAG Chatbot would enable SU staff to efficiently retrieve precise up-to-date information from SU data sources.","true"
"doc002","NDC Partnership – AI Implementation RFP (August 2025)","doc002_r003","RAG chatbot","must interface directly with","internal and external SU data sources to improve information management processes","Integration","MUST","Designed to interface directly with internal and external SU data sources to improve information management processes.","true"
"doc002","NDC Partnership – AI Implementation RFP (August 2025)","doc002_r004","RAG chatbot","must utilize","advanced semantic search functionality to dynamically retrieve and synthesise information","Functional","MUST","Utilizing an advanced semantic search functionality, the RAG Chatbot would enable fluid and intelligent information extraction, reducing reliance on manual searches and document review.","true"
"doc002","NDC Partnership – AI Implementation RFP (August 2025)","doc002_r005","Generative AI model","must automate","initial thematic tagging processes based on set taxonomies including sector and activity type","Functional","MUST","The configuration of generative AI to automate thematic tagging processes based on set taxonomies (e.g., including tagging based on sector, activity type, etc.).","true"
"doc002","NDC Partnership – AI Implementation RFP (August 2025)","doc002_r006","Knowledge database","must be vectorised","with embeddings stored to enable advanced semantic search capabilities","Functional","MUST","The Knowledge database is vectorized, with embeddings stored to enable advance semantic search capabilities, offering more accurate and contextual results compared to traditional keyword search.","true"
"doc002","NDC Partnership – AI Implementation RFP (August 2025)","doc002_r007","Vendor","must complete","a pilot or proof of concept with user testing before full implementation","Deployment","MUST","Complete a pilot or proof of concept for proposed AI technologies and use cases, utilizing SU data and processes, and with user testing included to verify outputs.","true"
"doc002","NDC Partnership – AI Implementation RFP (August 2025)","doc002_r008","Vendor","must include","a management plan to ensure long-term sustainable hosting and mitigate data security and environmental risks","Sustainability","MUST","Include a management plan to ensure long-term hosting of the tool is sustainable and that data security and environmental risks are fully mitigated.","true"
"doc002","NDC Partnership – AI Implementation RFP (August 2025)","doc002_r009","Vendor","must ensure","that team capacity requirements are met for long-term utilisation and management of AI technologies","Training","MUST","Work with SU colleagues to ensure that team capacity requirements are met for long-term utilisation and management of implemented AI technologies.","true"
"doc002","NDC Partnership – AI Implementation RFP (August 2025)","doc002_r010","Indexing system","must significantly reduce","the likelihood of hallucinations by facilitating seamless switching between data sources","Quality","MUST","Indexing facilitates seamless switching between data sources, while also significantly reducing the likelihood of hallucinations.","true"
"doc003","EC DG GROW – Public Procurement Data Space (ECGROW2025OP0002)","doc003_r001","European Commission DG GROW","needs to unlock","the full potential of public procurement data across the EU through an improved data space","Strategic objective","MUST","To unlock the full potential of procurement data, access to data and the ability to analyse and consume the data in a meaningful way by further improving and extending the capabilities of the Public Procurement Data Space.","true"
"doc003","EC DG GROW – Public Procurement Data Space (ECGROW2025OP0002)","doc003_r002","Contractor","must ensure","effective operation and governance of the PPDS including day-to-day running and system performance","Operations","MUST","Ensure the effective operation and governance of the PPDS. This involves the overall day-to-day running of the PPDS, maintaining system performance, managing user access, and ensuring data integrity.","true"
"doc003","EC DG GROW – Public Procurement Data Space (ECGROW2025OP0002)","doc003_r003","PPDS","must maintain and enhance","its services through continuous updates, new developments, and technological advancements","Functional","MUST","Maintain, enhance, and expand the PPDS services through continuous updates, new developments, and technological advancements.","true"
"doc003","EC DG GROW – Public Procurement Data Space (ECGROW2025OP0002)","doc003_r004","Contractor","must support","overall outreach by organising workshops, events, and community management for PPDS users","Outreach","MUST","The contractor shall support the Commission by organizing workshops, events, providing content for the PPDS website, and supporting the community management.","true"
"doc003","EC DG GROW – Public Procurement Data Space (ECGROW2025OP0002)","doc003_r005","PPDS","must improve","its data governance framework to oversee the end-to-end data pipeline ensuring functional, scalable, and compatibility requirements","Data governance","MUST","Improving data governance framework to oversee the end-to-end data pipeline, ensuring it meets functional, scalable, and compatibility requirements.","true"
"doc003","EC DG GROW – Public Procurement Data Space (ECGROW2025OP0002)","doc003_r006","Contractor","must extend","the PPDS to cover additional public procurement data sources from EU member states","Integration","MUST","The contractor shall extend the data sources of the PPDS, including public procurement data sources and relevant non-procurement data sources.","true"
"doc003","EC DG GROW – Public Procurement Data Space (ECGROW2025OP0002)","doc003_r007","PPDS","must integrate","with other European Data Spaces through the Simpl-Open middleware platform","Integration","MUST","The contractor shall integrate the PPDS to other European Data Spaces through the Simpl-Open middleware platform, once available.","true"
"doc003","EC DG GROW – Public Procurement Data Space (ECGROW2025OP0002)","doc003_r008","PPDS","must enable","policy makers at EU and national level to gain insights to predict future trends in public procurement","Analytics","MUST","Policy makers at EU, national and regional level will gain a wealth of insights that will enable them to predict future trends.","true"
"doc003","EC DG GROW – Public Procurement Data Space (ECGROW2025OP0002)","doc003_r009","PPDS","must provide","companies and SMEs with a user-friendly portal giving access to a greater number of open tenders","Access","MUST","Companies, and SMEs in particular, will have a user-friendly portal that gives them access to a greater number of open tenders benefiting from better data quality.","true"
"doc003","EC DG GROW – Public Procurement Data Space (ECGROW2025OP0002)","doc003_r010","PPDS","must ensure","interoperable, reliable, and secure use of public procurement data","Functional","MUST","A successful solution would provide an improved PPDS toolset, infrastructure and governance that enables and ensures interoperable, reliable and secure use of public procurement data.","true"
"doc003","EC DG GROW – Public Procurement Data Space (ECGROW2025OP0002)","doc003_r011","System","must be built","mainly with open-source components to ensure reusability and reduce vendor lock-in","Architecture","MUST","Using mainly open-source components and reusability of common building blocks to reduce risks and vendor lock-in for the expansion and scale-up towards an EU-wide deployment.","true"
"doc004","EC CNECT – AI Act Compliance Service Desk (ECCNECT2025OP0026)","doc004_r001","European Commission AI Office","needs to create","a temporary AI Act Service Desk to help citizens, companies, and local authorities comply with the AI Act","Strategic objective","MUST","It is necessary to create a temporary support mechanism, an 'AI Act Service Desk', for citizens, companies, local authorities and other organisations already developing or deploying AI or planning to do so.","true"
"doc004","EC CNECT – AI Act Compliance Service Desk (ECCNECT2025OP0026)","doc004_r002","AI Act Service Desk","must collect, channel, and reply to","questions about AI Act compliance from stakeholders including SMEs and start-ups","Functional","MUST","The task of this 'AI Act Service Desk' would be to collect, channel and reply to questions, consult with the AI Office to develop standard answers, provide guidance and direct companies to the relevant sources of information.","true"
"doc004","EC CNECT – AI Act Compliance Service Desk (ECCNECT2025OP0026)","doc004_r003","Contractor team","must handle","at least 120 new inquiries per day with a maximum turnaround of 2 working days","Operations","MUST","Human operators must be able to handle at least 120 new inquiries per day together. A target of max. 2 working days should not be exceeded for providing answers.","true"
"doc004","EC CNECT – AI Act Compliance Service Desk (ECCNECT2025OP0026)","doc004_r004","Service desk","must provide","answers in the same EU official language in which the question was asked","Functional","MUST","The contractor will provide answers in the same EU official language in which the question was asked.","true"
"doc004","EC CNECT – AI Act Compliance Service Desk (ECCNECT2025OP0026)","doc004_r005","Contractor","must maintain","a permanently updated registry of frequently asked questions and their standard answers","Knowledge management","MUST","A regular analysis of the questions will be carried out, and new standard answers for frequent questions will be developed, and a registry of frequently asked questions and their answers will be permanently updated.","true"
"doc004","EC CNECT – AI Act Compliance Service Desk (ECCNECT2025OP0026)","doc004_r006","Contractor","must contribute to","the development of decision-trees that allow self-assessments of parts of the AI Act","Knowledge management","MUST","Contributing to the development of decision-trees that allow self-assessments of certain parts of the AI Act.","true"
"doc004","EC CNECT – AI Act Compliance Service Desk (ECCNECT2025OP0026)","doc004_r007","Contractor","must contribute to","the preparation of AI Act information in easily understandable form such as summaries and fact sheets","Knowledge management","MUST","Contributing to the preparation of information about the AI Act in easily understandable form, for example summaries or fact sheets.","true"
"doc004","EC CNECT – AI Act Compliance Service Desk (ECCNECT2025OP0026)","doc004_r008","Contractor","must be able to contribute to","the training of a chatbot if such a chatbot is developed and deployed by the Commission","Functional","MAY","Contributing to the training of a chatbot, if such a chatbot is developed and deployed.","true"
"doc004","EC CNECT – AI Act Compliance Service Desk (ECCNECT2025OP0026)","doc004_r009","All online content","must comply with","EN 301 549 v3.2.1 and WCAG 2.1 Level AA web accessibility standards","Compliance","MUST","All online content must comply with EN 301 549 v3.2.1 and WCAG 2.1, Level 'AA'.","true"
"doc004","EC CNECT – AI Act Compliance Service Desk (ECCNECT2025OP0026)","doc004_r010","Contractor","must process personal data","in compliance with Regulation (EU) 2018/1725 and follow instructions from the Commission","Compliance","MUST","When the contractor processes personal data in the context of the present contract, the contractor must respect Regulation (EU) 2018/1725.","true"
"doc004","EC CNECT – AI Act Compliance Service Desk (ECCNECT2025OP0026)","doc004_r011","Project manager","must oversee","implementation of the AI Act Service Desk ensuring effective communication, resource allocation, and quality control","Governance","MUST","Will oversee the implementation of the AI Act Service Desk, ensuring effective communication, resource allocation, and timeline management. Will be responsible for reporting and quality control and for organising and maintaining the knowledge base.","true"
"doc005","EC ESTAT – Web Intelligence Hub NLP/AI (EC-ESTAT/2025/OP/0012)","doc005_r001","Eurostat and Cedefop","need to strengthen","the Web Intelligence Hub as a cutting-edge tool for harnessing web data for European labour market statistics","Strategic objective","MUST","The general objective is to strengthen the position of the WIH as a cutting-edge tool for Eurostat and European Commission policy DGs and Agencies, empowering them to harness the full potential of web data.","true"
"doc005","EC ESTAT – Web Intelligence Hub NLP/AI (EC-ESTAT/2025/OP/0012)","doc005_r002","Contractor","must design, execute, monitor, and evaluate","the core OJA pipeline including web content retrieval, data extraction, and integration from heterogeneous online sources","Functional","MUST","They aim at designing, executing, monitoring and evaluating the core functions of the OJA pipeline in the context of the Web Intelligence Hub i.e. web content retrieval and data extraction, integration of data from heterogeneous online sources.","true"
"doc005","EC ESTAT – Web Intelligence Hub NLP/AI (EC-ESTAT/2025/OP/0012)","doc005_r003","System","must ensure","data quality and perform data curation, cleansing, processing, and transformation of unstructured web data","Data quality","MUST","Ensuring data quality and performing data curation/cleansing, processing and transforming unstructured or semi-structured web data.","true"
"doc005","EC ESTAT – Web Intelligence Hub NLP/AI (EC-ESTAT/2025/OP/0012)","doc005_r004","System","must perform","text analysis and NLP including sentiment analysis, topic modelling, named entity recognition, and machine translation","Functional","MUST","Text analysis and natural language processing (NLP) such as sentiment analysis, topic modelling, named entity recognition, and machine translation.","true"
"doc005","EC ESTAT – Web Intelligence Hub NLP/AI (EC-ESTAT/2025/OP/0012)","doc005_r005","Contractor","must deploy","NLP-based services and manage API integration","Functional","MUST","Deployment of NLP-based services, API integration and management.","true"
"doc005","EC ESTAT – Web Intelligence Hub NLP/AI (EC-ESTAT/2025/OP/0012)","doc005_r006","Contractor","must perform","user requirement gathering and business analysis to support the WIH evolution","Analysis","MUST","User requirement gathering, business analysis, drafting or publishing technical documentation, and project management.","true"
"doc005","EC ESTAT – Web Intelligence Hub NLP/AI (EC-ESTAT/2025/OP/0012)","doc005_r007","System","must improve","the OJA Data Production System through short-cycle iterations focusing on data processing speed, efficiency, and algorithm accuracy","Quality","MUST","Implement short-cycle iterations to refine the OJA DPS, focusing on improving data processing speed and efficiency, enhancing the accuracy of algorithms, and reducing system downtime.","true"
"doc005","EC ESTAT – Web Intelligence Hub NLP/AI (EC-ESTAT/2025/OP/0012)","doc005_r008","Contractor","must establish","mechanisms to gather and incorporate user feedback into system improvements","Quality","MUST","Establish mechanisms to gather and incorporate user feedback.","true"
"doc005","EC ESTAT – Web Intelligence Hub NLP/AI (EC-ESTAT/2025/OP/0012)","doc005_r009","System","must extend","coverage to all EEA Member States for the Online Job Advertisement data production","Functional","MUST","The OJA DPS extending to all EEA Member-States.","true"
"doc005","EC ESTAT – Web Intelligence Hub NLP/AI (EC-ESTAT/2025/OP/0012)","doc005_r010","Contractor","must develop","new classification models for education field, emerging skills, and green skills taxonomy","Functional","MUST","Development of new classification models for 'Education field' and the identification of emerging skills. Developing taxonomies for green skills and occupations to align with the European Green Deal.","true"
"doc005","EC ESTAT – Web Intelligence Hub NLP/AI (EC-ESTAT/2025/OP/0012)","doc005_r011","System","must develop","web applications to provide skills intelligence insights to stakeholders","Functional","MUST","Web applications like 'Top & Trending Skills' and Skills OVATE provide insights into labor market demands.","true"
"doc006","Texas THECB – ADVi Chatbot Statement of Work (No. 781-3-29358)","doc006_r001","Texas Higher Education Coordinating Board","seeks to continue","the development and deployment of the ADVi AI chatbot for advising Texas students","Strategic objective","MUST","THECB seeks one or more vendors to continue the development and deployment of ADVi as well as provide continuous maintenance and support for the ADVi chatbot including any necessary patching and bug fixes.","true"
"doc006","Texas THECB – ADVi Chatbot Statement of Work (No. 781-3-29358)","doc006_r002","ADVi chatbot","must provide","two-way communication with the ability to be reactive and proactive via text message","Functional","MUST","ADVi currently uses AI technology to provide two-way communication with the ability to be reactive (responding to students who reach out with a question) as well as proactive (nudging students regularly to provide support, reminders, and resources) via text message.","true"
"doc006","Texas THECB – ADVi Chatbot Statement of Work (No. 781-3-29358)","doc006_r003","ADVi chatbot","must learn","from every interaction fuelled by a knowledge base and campaign library that is constantly growing","Functional","MUST","ADVi learns with every interaction and is fuelled by a knowledge base and campaign library that is constantly growing.","true"
"doc006","Texas THECB – ADVi Chatbot Statement of Work (No. 781-3-29358)","doc006_r004","ADVi system","must be supported by","a team of trained virtual advisors who provide extra support for any student who needs it","Collaboration","MUST","ADVi is supported by a team of trained virtual advisors, provided by THECB, who provide extra support for any student who needs it.","true"
"doc006","Texas THECB – ADVi Chatbot Statement of Work (No. 781-3-29358)","doc006_r005","ADVi chatbot","must provide","timely and accurate advising information to Texans looking to begin or complete their postsecondary journey","Functional","MUST","ADVi enables THECB to provide timely, accurate advising information to Texans who are looking to begin or complete their postsecondary journey.","true"
"doc006","Texas THECB – ADVi Chatbot Statement of Work (No. 781-3-29358)","doc006_r006","Vendor","must provide","continuous maintenance and support including any necessary patching and bug fixes","Maintenance","MUST","THECB seeks one or more vendors to continue the development and deployment of ADVi as well as provide continuous maintenance and support for the ADVi chatbot including any necessary patching and bug fixes.","true"
